ligand,receptor,ligand_uniprot,receptor_uniprot,y,set
CNTF,VAMP2,P26441,P63027,0,train
CCL24,SLC38A2,O00175,Q96QD8,0,train
S100A8,PLAAT3,P05109,P53816,0,train
SOST,LCT,Q9BQB4,P09848,0,train
GHRL,CPLX3,Q9UBU3,Q8WVH0,0,train
TSHB,GPR20,P01222,Q99678,1,train
VTN,ITGB6,P04004,P18564,1,train
GNAI2,LRP12,P04899,Q9Y561,0,train
IL2,ERVS71-1,P60568,P61550,0,train
B2M,IL11RA,P61769,Q14626,0,train
CD59,RGS20,P13987,O76081,0,train
INHBC,ACVR1B,P55103,P36896,1,train
IL3,CSF2RB,P08700,P32927,1,train
PROC,ITGB2,P04070,P05107,1,train
VEGFD,MYO10,O43915,Q9HD67,0,train
CALCB,CALCR,P10092,P30988,1,train
PTH2,ADCYAP1R1,Q96A98,P41586,1,train
VEGFA,ITGB1,P15692,P05556,1,train
WNT3A,FZD3,P56704,Q9NPG1,1,train
VTN,ITGA3,P04004,P26006,1,train
EFNB1,EPHB3,P98172,P54753,1,train
S100A9,AGER,P06702,Q15109,1,train
LTA,TNFRSF1A,P01374,P19438,1,train
CCL3,CCR4,P10147,P51679,1,train
GAL,OTOP2,P22466,Q7RTS6,0,train
CALM3,LPAR1,P0DP25,Q92633,0,train
SCT,TSPAN16,P09683,Q9UKR8,0,train
PODXL2,CALHM5,Q9NZ53,Q8N5C1,0,train
WNT1,KCNK13,P04628,Q9HB14,0,train
TGFB1,OR51H1,P01137,Q8NH63,0,train
LIF,IL6ST,P15018,P40189,1,train
LIN7C,HTR2C,Q9NUP9,P28335,1,train
GCG,GPR84,P01275,Q9NQS5,1,train
HLA-B,KIR3DL2,P01889,P43630,1,train
TGFB3,TGFBR1,P10600,P36897,1,train
NTS,NTSR1,P30990,P30989,1,train
ADA,XKR9,P00813,Q5GH70,0,train
ADM,FRRS1,P35318,Q6ZNA5,0,train
ZG16B,LINC00477,Q96DA0,Q96M19,0,train
COL6A2,ITGB1,P12110,P05556,1,train
APOB,TLR4,P04114,O00206,1,train
IL22,IL10RA,Q9GZX6,Q13651,1,train
S100A10,CFTR,P60903,P13569,1,train
NXPH3,NRXN1,O95157,Q9ULB1,1,train
CCL4,ICOS,P13236,Q9Y6W8,0,train
CCL26,TAS2R38,Q9Y258,P59533,0,train
SERPINE1,PLAUR,P05121,Q03405,1,train
TGM2,TSPAN6,P21980,O43657,0,train
LAMA5,GPR18,O15230,Q14330,0,train
NPS,PRICKLE3,P0C0P6,O43900,0,train
INHBB,LPAR3,P09529,Q9UBY5,0,train
HLA-E,KLRK1,P13747,P26718,1,train
NLGN3,KIF17,Q9NZ94,Q9P2E2,0,train
VEGFD,ITGA5,O43915,P08648,1,train
IL36G,RHOJ,Q9NZH8,Q9H4E5,0,train
LRIG1,OR4C3,Q96JA1,Q8NH37,0,train
THBS2,NOTCH3,P35442,Q9UM47,1,train
IL17A,IL17RC,Q16552,Q8NAC3,1,train
VEGFD,ITGB1,O43915,P05556,1,train
LTF,TFRC,P02788,P02786,1,train
GNAI2,EGFR,P04899,P00533,1,train
GNAI2,AGTR2,P04899,P50052,1,train
FGF1,TGFBR3,P05230,Q03167,1,train
CSF2,CSF2RA,P04141,P15509,1,train
CXCL13,DNER,O43927,Q8NFT8,0,train
COL1A1,ITGAV,P02452,P06756,1,train
HSP90AA1,KIT,P07900,P10721,0,train
SLURP1,SLC26A10,P55000,Q8NG04,0,train
CGA,RYK,P01215,P34925,0,train
WNT3A,MACIR,P56704,Q96GV9,0,train
OSM,LIFR,P13725,P42702,1,train
RETN,GPR25,Q9HD89,O00155,1,train
CALCA,GPR84,P01258,Q9NQS5,1,train
BMP4,BMPR1A,P12644,P36894,1,train
TNFSF10,NOSTRIN,P50591,Q8IVI9,0,train
LPA,ITGB2,P08519,P05107,1,train
KNG1,TENM2,P01042,Q9NT68,0,train
FGF9,OR4F3,P31371,Q6IEY1,0,train
HP,SLC37A1,P00738,P57057,0,train
FGF6,BTNL9,P10767,Q6UXG8,0,train
SFRP1,FZD2,Q8N474,Q14332,1,train
LAMC2,ITGA2,Q13753,P17301,1,train
ACTR2,LDLR,P61160,P01130,1,train
WNT5B,KLRG2,Q9H1J7,A4D1S0,1,train
NPW,RASA4,Q8N729,O43374,0,train
GCG,GPR20,P01275,Q99678,1,train
VEGFC,LYVE1,P49767,Q9Y5Y7,1,train
COL4A5,KIR3DL3,P29400,Q8N743,0,train
FN1,EFCAB7,P02751,A8K855,0,train
BMP15,BMPR1A,O95972,P36894,1,train
TNFSF13,P2RY11,O75888,Q96G91,0,train
CALM1,AQP6,P0DP23,Q13520,1,train
ZG16B,CXCR4,Q96DA0,P61073,1,train
INHBA,SIGLEC15,P08476,Q6ZMC9,0,train
HSP90B1,TLR7,P14625,Q9NYK1,1,train
RARRES2,CMKLR1,Q99969,Q99788,1,train
CALCA,CLEC4C,P01258,Q8WTT0,0,train
NCAM1,TREML2,P13591,Q5T2D2,0,train
PROK2,PROKR2,Q9HC23,Q8NFJ6,1,train
UCN2,CLDN8,Q96RP3,P56748,0,train
GNAI2,FPR1,P04899,P21462,1,train
COL4A4,MAPK10,P53420,P53779,0,train
APP,SIGLEC14,P05067,Q08ET2,0,train
C4A,CABP4,P0C0L4,P57796,0,train
ADAM10,PTPRG,O14672,P23470,0,train
CDH1,IL2RA,P12830,P01589,0,train
FGF14,OR52L2P,Q92915,Q8NGH6,0,train
ADAM10,CARMIL2,O14672,Q6F5E8,0,train
CCN1,ABCB1,O00622,P08183,0,train
FGF1,TMEM52B,P05230,Q4KMG9,0,train
RSPO1,TRBV24-1,Q2MKA7,A0A075B6N3,0,train
CCL17,ACKR2,Q92583,O00590,1,train
NODAL,ACVR1C,Q96S42,Q8NER5,1,train
CCL27,GRM7,Q9Y4X3,Q14831,1,train
LAMC2,COL17A1,Q13753,Q9UMD9,1,train
GAS6,RNF167,Q14393,Q9H6Y7,0,train
RLN3,ADCYAP1R1,Q8WXF3,P41586,1,train
PLAU,ITGA5,P00749,P08648,1,train
COL4A6,GPR151,Q14031,Q8TDV0,0,train
NCR3LG1,OR5AN1,Q68D85,Q8NGI8,0,train
CXCL6,CXCR1,P80162,P25024,1,train
VCAM1,CACNA1S,P19320,Q13698,0,train
TGFB1,KIR2DL5A,P01137,Q8N109,0,train
FGA,PLAUR,P02671,Q03405,1,train
FGF2,SDC4,P09038,P31431,1,train
LAMC2,TUBB3,Q13753,Q13509,0,train
ADAM17,IL6R,P78536,P08887,1,train
RAET1E,KLRK1,Q8TD07,P26718,1,train
NTF4,BEX3,P34130,Q00994,1,train
GNAI2,ARAP1,P04899,Q96P48,0,train
KNG1,MTNR1A,P01042,P48039,1,train
AREG,TMEM231,P15514,Q9H6L2,0,train
PTN,SDC1,P21246,P18827,1,train
PROK1,TSHR,P58294,P16473,0,train
AGT,GRM7,P01019,Q14831,1,train
VIP,PTH1R,P01282,Q03431,1,train
NLGN1,NRXN2,Q8N2Q7,Q9P2S2,1,train
GNAI2,LPAR3,P04899,Q9UBY5,1,train
PSPN,SERINC3,O60542,Q13530,0,train
EDIL3,ITGB5,O43854,P18084,1,train
LEFTY1,HTR1F,O75610,P30939,0,train
AFDN,NRXN3,P55196,Q9Y4C0,1,train
INS,LILRB2,P01308,Q8N423,1,train
CCL17,GREB1,Q92583,Q4ZG55,0,train
PYY,TMEM182,P10082,Q6ZP80,0,train
THBS2,ZP4,P35442,Q12836,0,train
NCAM1,ROBO1,P13591,Q9Y6N7,1,train
COL1A1,TMPRSS6,P02452,Q8IU80,1,train
SEMA3F,CACNA1S,Q13275,Q13698,0,train
CGA,ADRB3,P01215,P13945,1,train
TLN1,FLT1,Q9Y490,P17948,0,train
GDNF,GFRA3,P39905,O60609,1,train
SEMA6D,TYROBP,Q8NFY4,O43914,1,train
NMU,SLC6A16,P48645,Q9GZN6,0,train
NPTX2,SLC6A6,P47972,P31641,0,train
FGL1,EGFR,Q08830,P00533,1,train
NTS,OR5AS1,P30990,Q8N127,0,train
PLAU,ITGB1,P00749,P05556,1,train
LAMA2,ITGA7,P24043,Q13683,1,train
S100A12,TLR4,P80511,O00206,1,train
HMGB1,PRKAR1A,P09429,P10644,0,train
THBS1,LRP5,P07996,O75197,1,train
PDCD1LG2,PDCD1,Q9BQ51,Q15116,1,train
DHH,GTSCR1,O43323,Q86UQ5,0,train
FGF1,FGFR3,P05230,P22607,1,train
PIGF,FLT1,Q07326,P17948,1,train
IL7,IL2RG,P13232,P31785,1,train
THBS2,PKDREJ,P35442,Q9NTG1,0,train
THBS1,SCARB1,P07996,Q8WTV0,1,train
RBP3,NOTCH1,P10745,P46531,1,train
TNFSF10,TMC4,P50591,Q7Z404,0,train
WNT3A,FZD8,P56704,Q9H461,1,train
WNT2,FZD2,P09544,Q14332,1,train
SHBG,TBC1D3L,P04278,B9A6J9,0,train
TGFB1,SCARF2,P01137,Q96GP6,0,train
SEMA4G,TRGC1,Q9NTN9,P0CF51,0,train
INHBA,PPP1R16B,P08476,Q96T49,0,train
F2,GP1BA,P00734,P07359,1,train
C1QA,CASK,P02745,O14936,0,train
DSCAM,S1PR3,O60469,Q99500,0,train
CD14,TLR9,P08571,Q9NR96,1,train
APOA4,LRP1,P06727,Q07954,1,train
APOB,LRP6,P04114,O75581,1,train
EDN1,ADGRL4,P05305,Q9HBW9,1,train
HLA-C,ASIC5,P10321,Q9NY37,0,train
TGFB2,SLC18A2,P61812,Q05940,0,train
IL4,SIPA1L1,P05112,O43166,0,train
FN1,P2RY8,P02751,Q86VZ1,0,train
C4B,CR1,P0C0L5,P17927,1,train
IFNA10,IFNAR1,P01566,P17181,1,train
THBS2,GOLIM4,P35442,O00461,0,train
VCAN,SELL,P13611,P14151,1,train
ALKAL1,ALK,Q6UXT8,Q9UM73,1,train
CALM1,ATP6V0E1,P0DP23,O15342,0,train
CCL24,CCR3,O00175,P51677,1,train
F8,CHRFAM7A,P00451,Q494W8,0,train
CCL19,CXCR3,Q99731,P49682,1,train
WNT7B,PALM,P56706,O75781,0,train
FGB,TRIM72,P02675,Q6ZMU5,0,train
PTN,PCDHB6,P21246,Q9Y5E3,0,train
ANGPTL2,OR8G2P,Q9UKU9,Q6IF36,0,train
CALM3,FFAR1,P0DP25,O14842,0,train
EDN2,EDNRA,P20800,P25101,1,train
TGFB1,CXCR4,P01137,P61073,1,train
EDA,RRNAD1,Q92838,Q96FB5,0,train
CSH2,PRLR,P0DML3,P16471,1,train
ADCYAP1,ADRB3,P18509,P13945,1,train
COL4A5,CD47,P29400,Q08722,1,train
EFNB3,EPHA4,Q15768,P54764,1,train
NPY,NPFFR2,P01303,Q9Y5X5,1,train
TGM2,SLC5A3,P21980,P53794,0,train
INHBA,ERC1,P08476,Q8IUD2,0,train
HSP90AA1,ERBB2,P07900,P04626,1,train
COL1A1,LY96,P02452,Q9Y6Y9,0,train
IL16,CD4,Q14005,P01730,1,train
CXCL11,DPP4,O14625,P27487,1,train
INHBB,ACVR1C,P09529,Q8NER5,1,train
IL11,BTNL9,P20809,Q6UXG8,0,train
LAMC1,TNFRSF9,P11047,Q07011,0,train
L1CAM,ERBB2,P32004,P04626,1,train
TSHB,VIPR1,P01222,P32241,1,train
WNT7A,TMPRSS13,O00755,Q9BYE2,0,train
SEMA4D,PCDHGB4,Q92854,Q9UN71,0,train
ADM,ADCYAP1R1,P35318,P41586,1,train
COL1A1,LILRB3,P02452,O75022,0,train
NPB,GRM7,Q8NG41,Q14831,1,train
F2,F2R,P00734,P25116,1,train
FGG,ITGB2,P02679,P05107,1,train
GRP,CPD,P07492,O75976,0,train
BMP6,ACVR2A,P22004,P27037,1,train
ADAM17,RHOU,P78536,Q7L0Q8,0,train
PROK2,TRBV6-1,Q9HC23,A0A0K0K1D8,0,train
CORT,TMEM50A,O00230,O95807,0,train
HSP90B1,IGSF23,P14625,A1L1A6,0,train
TFPI,TRAV13-2,P10646,A0A0B4J235,0,train
S100A12,MMP24,P80511,Q9Y5R2,0,train
ADM,TRAC,P35318,P01848,0,train
ARTN,NLRP10,Q5T4W7,Q86W26,0,train
VEGFD,LRP11,O43915,Q86VZ4,0,train
NPPC,OR10T2,P23582,Q8NGX3,0,train
COL4A4,CD93,P53420,Q9NPY3,1,train
CALM2,KCNQ3,P0DP24,O43525,1,train
LGALS1,ITGB1,P09382,P05556,1,train
PIGA,FER1L5,P37287,A0AVI2,0,train
CALM2,KCNQ5,P0DP24,Q9NR82,1,train
CALM2,TRPM1,P0DP24,Q7Z4N2,0,train
CGN,CDK16,Q9P2M7,Q00536,0,train
TGFB1,ITGB8,P01137,P26012,1,train
BMP8A,TAS2R39,Q7Z5Y6,P59534,0,train
S100B,NMUR2,P04271,Q9GZQ4,0,train
CD40LG,CD36,P29965,P16671,0,train
COL1A2,CD93,P08123,Q9NPY3,1,train
CXCL6,GAS2L2,P80162,Q8NHY3,0,train
SST,CTNND1,P61278,O60716,0,train
RLN3,RAMP3,Q8WXF3,O60896,1,train
CCL25,MTNR1A,O15444,P48039,1,train
GNAI2,EDNRA,P04899,P25101,1,train
TNF,ICOS,P01375,Q9Y6W8,1,train
APOC3,MPV17L2,P02656,Q567V2,0,train
COL6A3,SLC22A1,P12111,O15245,0,train
NTNG2,LRRC4C,Q96CW9,Q9HCJ2,1,train
ADM2,GPR132,Q7Z4H4,Q9UNW8,0,train
TGFB3,ACVRL1,P10600,P37023,1,train
ZG16B,OR6C76,Q96DA0,A6NM76,0,train
APP,RAB21,P05067,Q9UL25,0,train
COL14A1,CD44,Q05707,P16070,1,train
CALM3,LRBA,P0DP25,P50851,0,train
EDN2,KEL,P20800,P23276,1,train
CALM1,PPP2R1A,P0DP23,P30153,0,train
CXCL11,ACKR1,O14625,Q16570,1,train
PTN,SFT2D3,P21246,Q587I9,0,train
ADCYAP1,GPR84,P18509,Q9NQS5,1,train
EDN2,LRP12,P20800,Q9Y561,0,train
FASLG,FAS,P48023,P25445,1,train
IL20,SNX1,Q9NYY1,Q13596,0,train
F10,IGSF5,P00742,Q9NSI5,0,train
VIP,RAMP1,P01282,O60894,1,train
NPS,ADRB2,P0C0P6,P07550,1,train
WNT2,TAS2R1,P09544,Q9NYW7,0,train
SEMA6D,TREM2,Q8NFY4,Q9NZC2,1,train
ADM,CALCR,P35318,P30988,1,train
CXCL2,CDH13,P19875,P55290,0,train
RSPO1,GPR27,Q2MKA7,Q9NS67,0,train
PPBP,TMEM145,P02775,Q8NBT3,0,train
NRG4,EGFR,Q8WWG1,P00533,1,train
POMC,TMEM253,P01189,P0C7T8,0,train
CD55,ADGRE2,P08174,Q9UHX3,1,train
ICAM4,TMEM141,Q14773,Q96I45,0,train
CALM1,ITGA1,P0DP23,P56199,0,train
NTN1,ADORA2B,O95631,P29275,1,train
CALM3,OR1F12,P0DP25,Q8NHA8,0,train
TSHB,ADRB2,P01222,P07550,1,train
SPINT1,ST14,O43278,Q9Y5Y6,1,train
CALM1,FCRL1,P0DP23,Q96LA6,0,train
APOE,VLDLR,P02649,P98155,1,train
COL6A1,NPY5R,P12109,Q15761,0,train
CCL4,FAM74A3,P13236,Q4VXF1,0,train
PTH2,OR56B4,Q96A98,Q8NH76,0,train
ADM,GPX8,P35318,Q8TED1,0,train
APOE,CACNA1G,P02649,O43497,0,train
EFNA5,EPHA7,P52803,Q15375,1,train
NPB,ADRA2A,Q8NG41,P08913,1,train
ADIPOQ,PRKD2,Q15848,Q9BZL6,0,train
FGF23,FGFR3,Q9GZV9,P22607,1,train
APP,DNAJC9,P05067,Q8WXX5,0,train
TFPI,F3,P10646,P13726,1,train
GUCA2B,OR5M10,Q16661,Q6IEU7,0,train
SST,MTNR1A,P61278,P48039,1,train
SEMA4C,PLXNB2,Q9C0C4,O15031,1,train
COL3A1,DDR2,P02461,Q16832,1,train
BMP15,EPHA1,O95972,P21709,0,train
GNAI2,GSG1L,P04899,Q6UXU4,0,train
EBI3,IL27RA,Q14213,Q6UWB1,1,train
FN1,RAB11FIP2,P02751,Q7L804,0,train
PSPN,AXL,O60542,P30530,0,train
CALM1,ALOX12,P0DP23,P18054,0,train
PTH2,GPR143,Q96A98,P51810,0,train
CALM1,KCNN4,P0DP23,O15554,1,train
CXCL5,UPK1B,P42830,O75841,0,train
THBS1,TRPV4,P07996,Q9HBA0,0,train
LTB,PRSS21,Q06643,Q9Y6M0,0,train
TIMP3,PCDHB11,P35625,Q9Y5F2,0,train
COL4A6,ERVK13-1,Q14031,Q9NX77,0,train
GNAI2,ADCY5,P04899,O95622,0,train
FN1,CLEC12B,P02751,Q2HXU8,0,train
CORT,DSCAML1,O00230,Q8TD84,0,train
LAMB1,ITGB4,P07942,P16144,1,train
FGF2,LILRB5,P09038,O75023,0,train
IL27,IL27RA,Q8NEV9,Q6UWB1,1,train
HDC,FAM189A1,P19113,O60320,0,train
CCL23,ACKR2,P55773,O00590,1,train
APP,LY9,P05067,Q9HBG7,0,train
LAMC1,PCDHA3,P11047,Q9Y5H8,0,train
C4B,CD46,P0C0L5,P15529,1,train
TNFSF13B,MAG,Q9Y275,P20916,0,train
CSF2,ITGB1,P04141,P05556,1,train
ICAM1,IL2RG,P05362,P31785,1,train
LHB,OR52A1,P01229,Q9UKL2,0,train
F10,USP14,P00742,P54578,0,train
BMP4,NETO2,P12644,Q8NC67,0,train
LRPAP1,LRP2,P30533,P98164,1,train
COL1A1,CRB3,P02452,Q9BUF7,0,train
COL9A1,ITGB1,P20849,P05556,1,train
IFNA13,CDH26,P01562,Q8IXH8,0,train
THBS1,ITGB3,P07996,P05106,1,train
GNAI2,TAS2R4,P04899,Q9NYW5,0,train
CALCB,TSHR,P10092,P16473,1,train
ITIH2,GPR32P1,P19823,Q8NGA4,0,train
LPL,CD44,P06858,P16070,1,train
HP,ITGB2,P00738,P05107,1,train
FGF3,OR6C68,P11487,A6NDL8,0,train
RETN,FRMD3,Q9HD89,A2A2Y4,0,train
CXCL6,GRM7,P80162,Q14831,1,train
FGF17,GAS8,O60258,O95995,0,train
APP,FPR2,P05067,P25090,1,train
ADCYAP1,CD300LB,P18509,A8K4G0,0,train
GDF1,CD53,P27539,P19397,0,train
INS,INSR,P01308,P06213,1,train
NLGN3,NRXN2,Q9NZ94,Q9P2S2,1,train
IL18,BACE2,Q14116,Q9Y5Z0,0,train
VIP,ADRB2,P01282,P07550,1,train
IFNE,FCAMR,Q86WN2,Q8WWV6,0,train
PLG,GRIN2B,P00747,Q13224,0,train
COL18A1,ITGB3,P39060,P05106,1,train
GSTO1,RYR1,P78417,P21817,1,train
COL1A1,BEST1,P02452,O76090,0,train
IL16,CD300LG,Q14005,Q6UXG3,0,train
THBS1,OR11H7,P07996,Q8NGC8,0,train
PTPN6,OR5M10,P29350,Q6IEU7,0,train
FGL1,C1orf115,Q08830,Q9H7X2,0,train
L1CAM,EPB41L5,P32004,Q9HCM4,0,train
IL16,KCNJ4,Q14005,P48050,1,train
ADCYAP1,GRIA4,P18509,P48058,0,train
ADAM10,AXL,O14672,P30530,1,train
TNFSF9,GRAP,P41273,Q13588,0,train
POMC,AADACL4,P01189,Q5VUY2,0,train
CALM1,GLP2R,P0DP23,O95838,1,train
BMP4,LRP6,P12644,O75581,1,train
CD55,CR1,P08174,P17927,1,train
ICAM1,ITGAL,P05362,P20701,1,train
PF4,PPP5C,P02776,P53041,0,train
SCT,PCDHB6,P09683,Q9Y5E3,0,train
BMP15,BMPR2,O95972,Q13873,1,train
TGFB3,ITGB3,P10600,P05106,1,train
AANAT,TBC1D3K,Q16613,A0A087X1G2,0,train
NLGN3,OPHN1,Q9NZ94,O60890,0,train
EPO,EPOR,P01588,P19235,1,train
AGRN,LRP1,O00468,Q07954,1,train
AVP,PRX,P01185,Q9BXM0,0,train
RLN3,NPIPB5,Q8WXF3,A8MRT5,0,train
COL1A1,PANX3,P02452,Q96QZ0,0,train
COL4A4,CNTN1,P53420,Q12860,0,train
CXCL9,NAAA,Q07325,Q02083,0,train
DSC2,ADGRG6,Q02487,Q86SQ4,0,train
GHRL,TRAJ31,Q9UBU3,A0A075B700,0,train
LAMA4,SGCG,Q16363,Q13326,0,train
COL1A1,CD36,P02452,P16671,1,train
SCGB3A1,MARCO,Q96QR1,Q9UEW3,1,train
COL5A1,SLC39A12,P20908,Q504Y0,0,train
ADCYAP1,ADCYAP1R1,P18509,P41586,1,train
VCAN,CTXND1,P13611,A0A1B0GTU2,0,train
DKK4,MAGT1,Q9UBT3,Q9H0U3,0,train
FGB,OR13C4,P02675,Q8NGS5,0,train
BMP8A,OR5H2,Q7Z5Y6,Q8NGV7,0,train
ADAM17,OR4C15,P78536,Q8NGM1,0,train
CALM3,LRRC3B,P0DP25,Q96PB8,0,train
ICAM1,PLPP1,P05362,O14494,0,train
SST,ELAPOR1,P61278,Q6UXG2,0,train
PF4,SLC4A1,P02776,P02730,0,train
TGS1,MYO10,Q96RS0,Q9HD67,0,train
DSC3,OR5H6,Q14574,Q8NGV6,0,train
CCL16,ADRA2A,O15467,P08913,1,train
CALM3,XKR5,P0DP25,Q6UX68,0,train
EFNA5,ACTR3B,P52803,Q9P1U1,0,train
CCN2,PLD2,P29279,O14939,0,train
APOA2,RCC2,P02652,Q9P258,0,train
SST,ADRA2A,P61278,P08913,1,train
ARPC5,LPCAT2,O15511,Q7L5N7,0,train
COL1A1,NAALADL1,P02452,Q9UQQ1,0,train
SAA1,SCARB1,P0DJI8,Q8WTV0,1,train
NCAM1,PTPRA,P13591,P18433,1,train
TGFB3,OR2T34,P10600,Q8NGX1,0,train
LAMC1,PIEZO1,P11047,Q92508,0,train
S100A8,CLEC12A,P05109,Q5QGZ9,0,train
RLN2,PLAUR,P04090,Q03405,0,train
APOE,PRX,P02649,Q9BXM0,0,train
HRG,ERBB2,P04196,P04626,1,train
INHBB,CD82,P09529,P27701,0,train
COL4A3,ACTR3B,Q01955,Q9P1U1,0,train
COL1A1,CD44,P02452,P16070,1,train
CALM2,ANKRD13A,P0DP24,Q8IZ07,0,train
DKK1,LRP5,O94907,O75197,1,train
IL23A,OR52R1,Q9NPF7,Q8NGF1,0,train
HLA-A,SIGLEC16,P04439,A6NMB1,0,train
GDF6,TRPC7,Q6KF10,Q9HCX4,0,train
PSPN,RET,O60542,P07949,1,train
CD14,TMEM219,P08571,Q86XT9,0,train
PSEN1,NCSTN,P49768,Q92542,1,train
HP,ASGR1,P00738,P07306,1,train
FGG,TLR4,P02679,O00206,1,train
ST6GAL1,CD22,P15907,P20273,1,train
CCL25,CCR10,O15444,P46092,1,train
ADM,ATP2B3,P35318,Q16720,0,train
IAPP,OR11H6,P10997,Q8NGC7,0,train
CCL25,CDHR3,O15444,Q6ZTQ4,0,train
CCL13,CCR3,Q99616,P51677,1,train
IL17F,IL17RC,Q96PD4,Q8NAC3,1,train
LTA,LTBR,P01374,P36941,1,train
RTN4,RTN4RL1,Q9NQC3,Q86UN2,1,train
B2M,LILRB1,P61769,Q8NHL6,1,train
IFNA16,MAPK8,P05015,P45983,0,train
S100A9,OR2B11,P06702,Q5JQS5,0,train
IFNA13,IFNAR1,P01562,P17181,1,train
CXCL9,PRTG,Q07325,Q2VWP7,0,train
CALM1,SELL,P0DP23,P14151,1,train
PYY,NPY1R,P10082,P25929,1,train
VIP,SCTR,P01282,P47872,1,train
CGA,NYNRIN,P01215,Q9P2P1,0,train
ICAM1,ITGAM,P05362,P11215,1,train
COL4A4,IGHMBP2,P53420,P38935,0,train
FGF18,ABITRAM,O76093,Q9NX38,0,train
FGF2,NRP1,P09038,O14786,1,train
EFNB2,ITGA2B,P52799,P08514,0,train
SCT,SLC25A4,P09683,P12235,0,train
WNT2,MARK4,P09544,Q96L34,0,train
ASIP,DGKE,P42127,P52429,0,train
LAMA2,RPSA,P24043,P08865,1,train
LAMA1,NAT14,P25391,Q8WUY8,0,train
NPS,SMLR1,P0C0P6,H3BR10,0,train
WNT7B,NTSR1,P56706,P30989,0,train
CALM2,ADCY8,P0DP24,P40145,1,train
IL2,IL2RB,P60568,P14784,1,train
CALM3,EVL,P0DP25,Q9UI08,0,train
SPX,RALGPS1,Q9BT56,Q5JS13,0,train
ANGPT2,TRBV6-5,O15123,A0A0K0K1A5,0,train
CD34,CCSMST1,P28906,Q4G0I0,0,train
PF4,ADRA2A,P02776,P08913,1,train
HRAS,INSR,P01112,P06213,1,train
HSP90AA1,ITGB3,P07900,P05106,1,train
ICAM3,FLT1,P32942,P17948,0,train
CCL8,CCR5,P80075,P51681,1,train
FYN,THY1,P06241,P04216,1,train
RGMA,HDAC6,Q96B86,Q9UBN7,0,train
IL36G,IL1RL2,Q9NZH8,Q9HB29,1,train
EFNA1,AP1S1,P20827,P61966,0,train
ADAM15,ARRB1,Q13444,P49407,0,train
CGN,TTBK2,Q9P2M7,Q6IQ55,0,train
VEGFD,HPN,O43915,P05981,0,train
LAMA1,ITGA7,P25391,Q13683,1,train
CEACAM1,NPHP1,P13688,O15259,0,train
APOA2,LRP2,P02652,P98164,1,train
CCN1,ITGA5,O00622,P08648,1,train
WNT3,CYBB,P56703,P04839,0,train
HLA-A,CD3G,P04439,P09693,1,train
CCN2,LY6G6F,P29279,Q5SQ64,0,train
NLGN3,LRRC70,Q9NZ94,Q7Z2Q7,0,train
GNAI2,PTPRU,P04899,Q92729,1,train
HMGB1,CXCR4,P09429,P61073,1,train
DHH,TREM2,O43323,Q9NZC2,0,train
EDN1,CCKAR,P05305,P32238,0,train
CCL5,CXCR3,P13501,P49682,1,train
LAMA1,ITGA1,P25391,P56199,1,train
CCN3,PLXNA1,P48745,Q9UIW2,1,train
NPY,SGCG,P01303,Q13326,0,train
LTA,TNFRSF14,P01374,Q92956,1,train
PSPN,GFRA4,O60542,Q9GZZ7,1,train
NRG3,GPR25,P56975,O00155,0,train
TNF,NOTCH1,P01375,P46531,1,train
SPP1,OTOF,P10451,Q9HC10,0,train
NLGN1,IGSF8,Q8N2Q7,Q969P0,0,train
COL6A3,SMIM42,P12111,A0A5F9ZH02,0,train
IL23A,IL12RB1,Q9NPF7,P42701,1,train
BMP7,WSCD1,P18075,Q658N2,0,train
FABP5,ADIG,Q01469,Q0VDE8,0,train
PKM,CD44,P14618,P16070,1,train
IFNA21,IFNAR2,P01568,P48551,1,train
L1CAM,ERBB3,P32004,P21860,1,train
CALM1,MYLK,P0DP23,Q15746,1,train
AZGP1,TRBC1,P25311,P01850,0,train
APP,XCR1,P05067,P46094,0,train
APELA,APLNR,P0DMC3,P35414,1,train
NRG4,SERP2,Q8WWG1,Q8N6R1,0,train
GCG,OR10AG1,P01275,Q8NH19,0,train
F10,ITGAM,P00742,P11215,1,train
FGG,CNST,P02679,Q6PJW8,0,train
VIP,NPR3,P01282,P17342,1,train
RLN3,ADRB2,Q8WXF3,P07550,1,train
ADCYAP1,LIMS1,P18509,P48059,0,train
CLEC2D,KLRB1,Q9UHP7,Q12918,1,train
RIMS1,SLC18A3,Q86UR5,Q16572,1,train
VIP,GRK1,P01282,Q15835,0,train
NTF4,ABCA9,P34130,Q8IUA7,0,train
PDCD1LG2,PDCD2,Q9BQ51,Q16342,1,train
CCL16,CCR8,O15467,P51685,1,train
TGM2,TAAR2,P21980,Q9P1P5,0,train
NPY,PCDHB8,P01303,Q9UN66,0,train
COL4A3,ITGB3,Q01955,P05106,1,train
SCGB3A1,PLPPR3,Q96QR1,Q6T4P5,0,train
GNAI2,LRRC1,P04899,Q9BTT6,0,train
CPAMD8,SCTR,Q8IZJ3,P47872,1,train
TGFB3,TGFBR2,P10600,P37173,1,train
HEBP1,FPR3,Q9NRV9,P25089,1,train
CCL25,ACKR2,O15444,O00590,1,train
GNAI2,HEPACAM,P04899,Q14CZ8,0,train
FGF10,FGFR2,O15520,P21802,1,train
COL4A4,CACNG1,P53420,Q06432,0,train
